Epoch time,Latitude,Longitude,Radiation (cps)
1682550890.2089112,37.875344,-122.258786,34.0
1682550895.5382795,37.875348,-122.258788,36.0
1682550900.893,37.875346,-122.258786,37.6
1682550906.2384477,37.875341,-122.258788,29.0
1682550911.5604863,37.875341,-122.25879,31.8
1682550916.8955617,37.875368,-122.258791,28.8
1682550922.2325046,37.875415,-122.258746,26.6
1682550927.5514488,37.875428,-122.25867,34.0
1682550932.9196587,37.875444,-122.258613,33.0
1682550938.2905872,37.875475,-122.258556,35.0
1682550943.654868,37.875476,-122.258523,36.0
1682550949.0198097,37.875465,-122.258498,35.2
1682550954.3785229,37.875458,-122.25849,32.6
1682550959.7223833,37.875465,-122.258501,31.4
1682550965.1153913,37.875473,-122.25851,34.6
1682550970.5101953,37.875475,-122.258416,34.2
1682550975.879935,37.875529,-122.258351,42.2
1682550981.2940714,37.875558,-122.258318,34.8
1682550986.6862638,37.875558,-122.258324,36.2
1682550992.100576,37.875566,-122.258353,36.2
1682550997.529329,37.875571,-122.258383,33.6
1682551003.037694,37.875591,-122.258376,37.2
1682551008.5326664,37.875616,-122.25837,31.8
1682551014.038839,37.875658,-122.25839,31.4
1682551019.5129495,37.875728,-122.258435,28.2
1682551024.9507797,37.87578,-122.258471,25.8
1682551030.4002755,37.875801,-122.258485,25.2
1682551035.897243,37.875828,-122.258471,28.4
1682551041.3246884,37.875819,-122.258431,24.4
1682551046.7418659,37.875831,-122.258513,26.2
1682551052.1917958,37.876065,-122.258666,25.2
1682551057.596895,37.876263,-122.258805,23.0
1682551063.0678182,37.876333,-122.258876,25.4
1682551068.5159981,37.876358,-122.25893,25.4
1682551074.0012012,37.87642,-122.258996,30.0
1682551079.4436586,37.876396,-122.259033,25.4
1682551084.9198236,37.876396,-122.259083,25.4
1682551090.3879452,37.876296,-122.25909,25.2
1682551095.8671453,37.876248,-122.259191,27.2
1682551101.33023,37.876226,-122.259235,25.8
1682551106.7899997,37.876203,-122.259288,28.6
1682551112.2811716,37.876195,-122.259338,29.6
1682551117.735283,37.876205,-122.259391,29.4
1682551123.2473247,37.876241,-122.259445,30.4
1682551128.7717075,37.87626,-122.259503,25.4
1682551134.3073251,37.876251,-122.25955,25.2
1682551139.786551,37.876251,-122.259623,28.6
1682551145.3518956,37.87627,-122.2597,26.2
1682551150.9247143,37.876288,-122.259809,26.0
1682551156.4146237,37.876278,-122.259833,26.0
1682551161.9563255,37.87627,-122.25987,26.0
1682551167.4982088,37.876273,-122.259908,26.0
1682551173.014178,37.876273,-122.259918,26.0
1682551178.4821253,37.876263,-122.259953,26.0
1682551183.9773972,37.876255,-122.260005,26.0
1682551189.4838002,37.876231,-122.260058,26.0
1682551195.0199802,37.876198,-122.260081,26.0
1682551200.4986587,37.87618,-122.260114,26.0
1682551206.0470445,37.876018,-122.260106,26.0
1682551211.5777447,37.875988,-122.260136,26.0
1682551217.123948,37.875938,-122.260161,26.0
1682551222.6107714,37.875901,-122.260173,26.0
1682551228.1483867,37.87586,-122.260164,26.0
1682551233.6595953,37.87581,-122.260153,26.0
1682551239.2348106,37.875763,-122.260146,26.0
1682551244.7649772,37.875726,-122.260136,26.0
1682551250.3109708,37.875675,-122.260136,26.0
1682551255.85519,37.875629,-122.260139,26.0
1682551261.4147015,37.875553,-122.260131,26.0
1682551266.9901369,37.875513,-122.260116,26.0
1682551272.5591176,37.875475,-122.260096,26.0
1682551278.1374037,37.875406,-122.260068,26.0
1682551283.6886456,37.87534,-122.260058,26.0
1682551289.2955647,37.875291,-122.260073,26.0
1682551294.8340802,37.875261,-122.260093,26.0
1682551300.4072495,37.875226,-122.260075,26.0
1682551306.005859,37.875236,-122.260016,26.0
1682551311.7122076,37.875276,-122.260021,26.0
1682551317.297672,37.875315,-122.260023,26.0
1682551322.8646584,37.875325,-122.259995,26.0
1682551328.4724126,37.875293,-122.260053,26.0
1682551334.1264768,37.875286,-122.259996,26.0
1682551339.688086,37.875301,-122.259963,26.0
1682551345.3289692,37.875344,-122.259998,26.0
1682551350.9356647,37.875363,-122.260003,26.0
1682551356.5099676,37.875365,-122.259958,26.0
1682551362.140528,37.875358,-122.259766,26.0
1682551367.730657,37.875346,-122.259748,26.0
1682551373.3721185,37.875333,-122.259683,26.0
1682551378.9962626,37.875325,-122.259558,26.0
1682551384.6087406,37.875343,-122.259498,26.0
1682551390.2929838,37.875353,-122.259423,26.0
1682551395.9063733,37.87536,-122.259338,26.0
1682551401.502887,37.875411,-122.259289,26.0
1682551407.2881026,37.875448,-122.259166,26.0
1682551412.8812475,37.875473,-122.259138,26.0
1682551418.5026782,37.875485,-122.2591,26.0
1682551424.1491556,37.875483,-122.259093,26.0
1682551429.7545242,37.875498,-122.259088,26.0
1682551435.4193995,37.875485,-122.259021,26.0
1682551441.0951564,37.875465,-122.258994,26.0
1682551446.734066,37.875451,-122.258951,26.0
1682551452.4720614,37.875425,-122.258875,26.0
1682551458.1803613,37.875426,-122.258855,26.0
1682551463.8257072,37.875473,-122.258813,26.0
1682551469.4908504,37.87552,-122.258791,26.0
1682551475.166614,37.875538,-122.258746,26.0
1682551480.8189185,37.875575,-122.25867,26.0
1682551486.510022,37.875633,-122.258614,26.0
1682551492.337554,37.875805,-122.258858,26.0
1682551498.0153425,37.875923,-122.258973,26.0
1682551503.6926963,37.876,-122.259006,26.0
1682551509.592812,37.87603,-122.259041,26.0
