PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
6,7,8,20.3940625,18173,21.412437596122395,996.8136533680137,137.7514045551283,1677110847.0798702,2023-02-22 16:07:27.079877
6,7,8,20.3919140625,4639,21.2396241224476,996.9026381937937,137.00069633783136,1677110848.2809377,2023-02-22 16:07:28.280946
6,7,8,20.3001171875,8376,21.386946429550996,996.9523948902003,136.58095447789677,1677110849.4801369,2023-02-22 16:07:29.480145
6,7,8,20.13625,11730,21.125603088720652,996.921618405996,136.840579414515,1677110850.6777394,2023-02-22 16:07:30.677748
6,7,8,19.9891796875,14561,20.841453694723572,996.870126046769,137.27497429416053,1677110851.8752525,2023-02-22 16:07:31.875261
5,7,7,19.8333203125,17116,20.82235902347114,996.8441854563843,137.4938186852601,1677110853.0699077,2023-02-22 16:07:33.069917
5,7,7,19.716328125,19143,20.604621436631575,996.8043247885882,137.83010697200697,1677110854.2636921,2023-02-22 16:07:34.263699
5,7,7,19.60890625,21004,20.71587373742404,996.7636623607191,138.1731706027704,1677110855.4643981,2023-02-22 16:07:35.464406
5,6,6,19.517890625,22620,20.90666311990249,996.784114163307,138.00061998015667,1677110856.6654963,2023-02-22 16:07:36.665504
5,6,6,19.3969921875,24124,20.909287419903855,996.7476516314792,138.3082541584428,1677110857.8596191,2023-02-22 16:07:37.859627
5,6,6,19.2925,25611,20.707009194924215,996.7369933129943,138.39818005330324,1677110859.0525103,2023-02-22 16:07:39.052519
4,5,5,19.2079296875,26692,20.804905780769438,996.729484070144,138.46153717356634,1677110860.2521317,2023-02-22 16:07:40.252139
4,5,5,19.148359375,27559,20.88471893240216,996.7370285263756,138.39788295122872,1677110861.4517846,2023-02-22 16:07:41.451792
4,5,5,19.113203125,28239,21.08383489042951,996.7586593771678,138.2153809090803,1677110862.6441987,2023-02-22 16:07:42.644206
4,5,5,19.1012890625,28659,21.34862420009329,996.7672201079434,138.14315389845459,1677110863.8373518,2023-02-22 16:07:43.837361
3,4,4,19.1235546875,28352,21.75921767411944,996.759235514091,138.21052001767922,1677110865.0370257,2023-02-22 16:07:45.037034
3,4,4,19.164765625,28164,22.55961714438098,996.7964920868399,137.89618957974974,1677110866.2297754,2023-02-22 16:07:46.229783
3,4,4,19.1985546875,29394,23.444996995150813,996.7809601674702,138.02722986549742,1677110867.422518,2023-02-22 16:07:47.422527
3,4,4,19.2399609375,30472,24.251611483649047,996.7916502766925,137.9370389696676,1677110868.6221611,2023-02-22 16:07:48.622170
3,4,4,19.308125,30737,24.88287413233218,996.8085931275112,137.79409620719653,1677110869.822173,2023-02-22 16:07:49.822181
3,4,4,19.3454296875,31029,25.266010274547533,996.7653240467661,138.1591509510038,1677110871.01622,2023-02-22 16:07:51.016228
3,4,4,19.39796875,31965,26.12122957220547,996.7745026476024,138.08171140033207,1677110872.2092912,2023-02-22 16:07:52.209300
3,4,4,19.4594921875,31750,26.592100104280707,996.7819378845146,138.01898097653773,1677110873.402367,2023-02-22 16:07:53.402377
3,4,4,19.5395703125,31821,27.086767239475115,996.7683764653906,138.13339773228435,1677110874.597054,2023-02-22 16:07:54.597062
3,4,4,19.6223828125,31750,27.80116337752289,996.776185213856,138.06751570731035,1677110875.7903624,2023-02-22 16:07:55.790372
3,4,4,19.7219921875,30233,28.640840773480956,996.7835575426316,138.00531611721317,1677110876.9901316,2023-02-22 16:07:56.990140
3,4,4,19.8290234375,30759,29.88622167619583,996.7848374109594,137.99451803589588,1677110878.1832135,2023-02-22 16:07:58.183223
3,4,4,19.9034375,33166,31.358678160205194,996.830605701031,137.608384350387,1677110879.3762314,2023-02-22 16:07:59.376239
3,4,4,19.93,35263,31.995665840296883,996.9441318367479,136.65065948712368,1677110880.5693448,2023-02-22 16:08:00.569354
3,4,5,19.895625,36258,31.555057391479018,996.9201097033315,136.85330672821624,1677110881.7632768,2023-02-22 16:08:01.763285
3,4,5,19.906171875,37018,31.11431944005094,996.9176169612125,136.87433536641763,1677110882.9561043,2023-02-22 16:08:02.956112
3,4,5,19.9661328125,35829,30.657853725429383,996.8482926936747,137.45916820888743,1677110884.148562,2023-02-22 16:08:04.148569
3,4,5,20.016328125,37083,30.40801759396495,996.7877984988634,137.96953576842435,1677110885.341562,2023-02-22 16:08:05.341571
4,5,6,20.055390625,37777,30.23158403535485,996.7742331903904,138.0839847936644,1677110886.5345562,2023-02-22 16:08:06.534565
4,5,6,20.063203125,38603,29.884147366688737,996.7755572177748,138.07281406376563,1677110887.7274346,2023-02-22 16:08:07.727443
5,6,6,20.071015625,38498,29.47453723937519,996.7785635662518,138.0474497486858,1677110888.9299297,2023-02-22 16:08:08.929937
5,6,6,20.1020703125,38463,29.157025455901838,996.7767983751274,138.06234251365174,1677110890.1322455,2023-02-22 16:08:10.132254
5,6,6,20.133515625,39392,28.918688804349824,996.7706356624913,138.11433695500665,1677110891.3346589,2023-02-22 16:08:11.334667
5,6,6,20.1794140625,39066,28.660989613606407,996.7903861172081,137.94770445843892,1677110892.5399895,2023-02-22 16:08:12.539998
5,6,6,20.2079296875,39246,28.558830018553103,996.8281047589674,137.62948369678986,1677110893.732815,2023-02-22 16:08:13.732824
5,6,6,20.2380078125,39319,28.488148399060393,996.8145874759592,137.74352380039045,1677110894.9254935,2023-02-22 16:08:14.925501
5,6,6,20.2649609375,39650,28.38076754844921,996.8092898317211,137.78821832324792,1677110896.1182156,2023-02-22 16:08:16.118225
5,6,6,20.306171875,38568,28.394401813749607,996.7942305849865,137.91526940142285,1677110897.3182175,2023-02-22 16:08:17.318226
5,6,6,20.3594921875,38709,28.62812720189175,996.7960968730679,137.89952391377477,1677110898.511156,2023-02-22 16:08:18.511165
5,6,6,20.389765625,40522,29.01226314911329,996.7929826909386,137.92579763946404,1677110899.7106576,2023-02-22 16:08:19.710665
5,6,6,20.4204296875,41232,28.988514845832004,996.8090371386066,137.790350218695,1677110900.9033928,2023-02-22 16:08:20.903401
4,5,5,20.4508984375,42008,28.771172306403383,996.8466476477332,137.47304653256467,1677110902.1028397,2023-02-22 16:08:22.102848
4,5,5,20.47453125,42133,28.49099105598951,996.850910798299,137.43708077682314,1677110903.295671,2023-02-22 16:08:23.295680
4,5,5,20.530390625,40639,28.265951706820097,996.8048027768623,137.82607431430773,1677110904.4885864,2023-02-22 16:08:24.488596
4,5,5,20.600703125,40215,28.328749090144377,996.8148920140851,137.74095451588389,1677110905.688195,2023-02-22 16:08:25.688204
5,6,6,20.6766796875,40329,28.679202894418026,996.8243499003215,137.66116186546324,1677110906.8811107,2023-02-22 16:08:26.881120
5,6,6,20.7290234375,40678,28.944949290083837,996.7924953506051,137.92990923744622,1677110908.0807521,2023-02-22 16:08:28.080760
5,6,6,20.788984375,39949,29.20137726280596,996.7481214976494,138.30428984222223,1677110909.2745697,2023-02-22 16:08:29.274578
4,6,6,20.862421875,38393,29.680451329673694,996.7364111221062,138.40309211102334,1677110910.4680316,2023-02-22 16:08:30.468040
4,6,6,20.923359375,39246,30.551955088267952,996.7407973503812,138.36608470740325,1677110911.6620896,2023-02-22 16:08:31.662098
4,6,6,21.0028515625,37181,31.313377092944595,996.7374985407336,138.39391735051493,1677110912.8620842,2023-02-22 16:08:32.862093
4,6,6,21.0747265625,38049,32.35202846448448,996.7332077073971,138.43011998534277,1677110914.0551078,2023-02-22 16:08:34.055117
4,6,6,21.1555859375,37411,33.36143487773337,996.740571156074,138.3679931465783,1677110915.248074,2023-02-22 16:08:35.248082
4,6,6,21.2341015625,37845,34.32347973445361,996.7439822939073,138.33921284375944,1677110916.4476736,2023-02-22 16:08:36.447681
4,5,5,21.315546875,38638,35.21016900336764,996.7573308749104,138.22658954705784,1677110917.6410902,2023-02-22 16:08:37.641099
4,5,5,21.3891796875,39356,35.72739953239082,996.7710587363875,138.11076749729395,1677110918.8342097,2023-02-22 16:08:38.834218
4,5,5,21.462421875,39102,35.85536471291461,996.7824256182985,138.01486602379325,1677110920.027096,2023-02-22 16:08:40.027105
3,5,5,21.5255078125,39392,35.91642866352139,996.8020610930922,137.84920517949396,1677110921.2202091,2023-02-22 16:08:41.220219
3,5,5,21.612421875,38393,35.941269263513746,996.804236167944,137.83085464056825,1677110922.4131434,2023-02-22 16:08:42.413152
